order_ref|retailer|order_date|delivery_date|promised_date|final_sale|item_condition|channel
NS-88231|NORTHSTAR|05-08-2025|12-08-2025|10-08-2025|N|UNUSED|web
CD-40012|CEDAR|04-08-2025|12-08-2025|11-08-2025|N|UNUSED|web
NS-88240|NORTHSTAR|24-08-2025|29-08-2025|28-08-2025|N|DAMAGED|store
NS-88255|NORTHSTAR|20-08-2025||26-08-2025|N||web
CD-40030|CEDAR|01-08-2025|09-08-2025|08-08-2025|N|UNUSED|web
NS-88260|NORTHSTAR|05-08-2025|12-08-2025|10-08-2025|Y|UNUSED|web
NS-88270|NORTHSTAR|18-08-2025|||N||phone
NS-88280|NORTHSTAR|02-06-2025|09-06-2025|07-06-2025|N|USED|web
CD-40045|CEDAR|23-08-2025|27-08-2025|26-08-2025|N|DAMAGED|store
CD-40060|CEDAR|10-08-2025|18-08-2025|17-08-2025|N|USED|web
NS-88291|NORTHSTAR|15-08-2025||21-08-2025|N||web
NS-88300|NORTHSTAR|28-07-2025|02-08-2025|01-08-2025|Y|UNUSED|store
